Gene ID,Gene Symbol,HCB1-21,HCB2-21,HCB3-21,HCB5-21,HCB6-21,HCB7-21,HCB8-21,HCB9-21,HCB10-21,HCB11-21,PTB1-21,PTB1-22,PTB2-21,PTB2-22,PTB3-21,PTB3-22,PTB4-21,PTB5-21,PTB6-21,PTB7-21,PTB8-21,PTB9-21,PTB10-21,PTB11-21,PTB12-21,PTB13-21
138065,'RNF183',0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.26,0.0
138151,'NACC2',27.37,24.59,24.67,23.26,15.59,12.16,20.18,21.12,13.7,17.81,14.9,20.83,23.71,11.98,16.79,6.52,2.68,8.3,32.09,5.61,29.88,23.35,27.04,9.51,5.81,10.49
138162,'C9orf116',0.49,0.69,0.68,0.35,0.17,0.82,0.71,0.87,0.16,0.55,0.7,0.17,0.33,0.18,0.79,0.71,0.32,0.2,0.92,1.92,0.19,1.21,0.49,1.56,0.2,0.38
138199,'CARNMT1',6.34,3.6,5.44,5.34,4.37,4.36,9.76,7.64,4.09,5.54,6.47,13.99,6.34,15.12,12.42,12.7,4.5,12.52,9.65,9.41,7.76,4.49,1.13,7.92,2.13,3.65
1382,'CRABP2',0.22,3.16,1.13,0.98,1.91,1.99,0.95,0.46,1.38,1.68,1.26,0.4,0.44,1.62,0.65,1.04,1.2,0.9,0.85,1.27,0.23,1.48,2.27,1.63,6.46,3.52
138240,'C9orf57',0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138241,'C9orf85',8.67,3.0,4.95,5.73,5.38,5.01,5.96,6.42,3.01,4.03,7.97,11.82,7.5,12.8,8.33,9.27,4.85,8.97,9.32,8.65,8.99,3.69,2.31,6.02,1.74,5.46
138255,'C9orf135',0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138307,'LCN8',0.09,0.12,0.0,0.18,0.19,0.26,0.06,2.54,4.33,2.96,0.0,0.0,0.0,0.0,0.07,0.0,0.27,0.0,0.13,0.11,0.0,0.0,6.71,0.0,0.1,2.84
138311,'FAM69B',2.72,3.51,2.4,3.37,7.25,2.91,2.77,3.17,4.44,2.09,0.98,0.95,7.51,1.52,0.66,1.11,0.99,0.66,7.92,0.94,1.26,1.72,6.43,0.23,2.69,4.69
1384,'CRAT',28.2,19.89,27.83,30.69,34.11,21.73,30.37,32.8,19.48,22.03,19.72,15.4,53.04,11.67,16.43,7.83,11.17,12.68,48.59,13.65,26.57,33.17,37.4,17.26,18.52,27.43
138428,'PTRH1',7.61,3.8,7.08,9.82,6.58,8.31,8.23,8.0,5.82,5.88,10.58,10.48,6.67,9.46,11.32,8.89,10.84,8.94,10.04,8.78,10.68,11.65,3.82,9.36,6.37,7.51
138429,'PIP5KL1',0.1,0.98,0.22,0.1,0.42,0.2,0.11,0.67,0.19,1.17,0.36,0.42,0.03,0.63,0.5,1.02,1.0,0.12,0.15,0.8,0.12,0.14,0.36,0.49,1.1,0.22
138474,'TAF1L',0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.04,0.0,0.02,0.02,0.03,0.02,0.05,0.02,0.09,0.13,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,0.0
